"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"L4","0603","2888.863mil","1025.976mil","2888.863mil","1025.976mil","2860.32mil","1025.976mil","T","0.00","BLM18PG330SN1D"
"L2","0603","3578.806mil","1553.045mil","3578.806mil","1553.045mil","3550.262mil","1553.045mil","T","360.00","BLM18PG330SN1D"
"J1","68715014522","1968.625mil","1697.203mil","1953.465mil","1673.228mil","1486.345mil","1658.228mil","B","360.00","68715014522"
"IC8","SC70-5","2037.411mil","197.291mil","2063.001mil","153.984mil","2063.001mil","153.984mil","B","90.00","TLV70018DCKT"
"IC5","TSOP-6","654.016mil","451.977mil","654.016mil","451.977mil","697.323mil","489.378mil","B","180.00","NCP380HSNAJAAT1G"
"IC4","LQFP-48","2297.609mil","760.857mil","2297.609mil","760.857mil","2463.948mil","869.125mil","B","180.00","FT2232D"
"IC3","WSON-10_4x4","468.83mil","1726.025mil","468.83mil","1726.025mil","547.57mil","1663.033mil","T","270.00","TPS54561-Q1"
"IC2","10-TDFN","3164.786mil","1890.914mil","3164.786mil","1890.914mil","3125.809mil","1930.284mil","T","360.00","MAX17502GATB+"
"F1","Fuse-1206","1366.014mil","900.205mil","1429.006mil","900.205mil","1429.006mil","900.205mil","T","180.00","Value"
"D10","SOD-323","468.977mil","211.819mil","468.977mil","211.819mil","468.977mil","253.355mil","B","360.00","1N4148WS"
"D9","SOT-3","1618.591mil","136.659mil","1618.591mil","136.659mil","1604.812mil","153.392mil","B","0.00","TPD2E009DRTR"
"D8","SOT-3","1696.868mil","145.357mil","1696.868mil","145.357mil","1710.647mil","128.625mil","B","180.00","TPD2E009DRTR"
"D7","TPD4E05U06_PASS","1781.82mil","426.678mil","1781.82mil","426.678mil","1742.45mil","411.52mil","T","360.00","TPD4E05U06"
"D6","TPD4E05U06_PASS","1610.188mil","426.678mil","1610.188mil","426.678mil","1570.818mil","441.835mil","T","360.00","TPD4E05U06"
"D2","SOT-3","3370.11mil","282.795mil","3370.11mil","282.795mil","3383.889mil","266.063mil","B","180.00","TPD2E009DRTR"
"D1","PowerDI","112.33mil","1789.554mil","112.33mil","1711.554mil","75.33mil","1867.554mil","T","90.00","PDS760-13"
"C66","C_0402","917.777mil","377.01mil","917.777mil","377.01mil","917.777mil","393.742mil","B","270.00","4u7"
"C65","C_0402","958.942mil","377.01mil","958.942mil","377.01mil","958.942mil","393.742mil","B","270.00","4u7"
"C56","C_0402","1842.519mil","500mil","1842.519mil","500mil","1842.519mil","483.268mil","T","90.00","100n"
"C55","C_0402","1811.023mil","500mil","1811.023mil","500mil","1811.023mil","483.268mil","T","90.00","100n"
"C52","C_0402","1673.228mil","500mil","1673.228mil","500mil","1673.228mil","483.268mil","T","90.00","100n"
"C50","C_0402","1641.732mil","500mil","1641.732mil","500mil","1641.732mil","483.268mil","T","90.00","100n"
"C44","0805","2003.937mil","783.465mil","2003.937mil","783.465mil","1969.488mil","783.465mil","B","360.00","47u"
"C43","0603","1583.864mil","782.578mil","1583.864mil","782.578mil","1583.864mil","811.121mil","B","270.00","100n"
"C42","0603","1871.377mil","163.632mil","1871.377mil","163.632mil","1899.92mil","163.632mil","B","180.00","10u"
"C40","1210","535.906mil","574.024mil","598.898mil","574.024mil","589.056mil","574.024mil","B","180.00","100u"
"C38","C_0402","2362mil","1011mil","2362mil","1011mil","2378.732mil","1011mil","B","180.00","100n"
"C3","C_0402","3192.979mil","1553.045mil","3192.979mil","1553.045mil","3192.979mil","1569.777mil","B","270.00","100n"
"C35","0603","3422.31mil","1759.765mil","3422.31mil","1759.765mil","3422.31mil","1731.222mil","T","90.00","2n2"
